Generating SQLite file benches/pxq4-v100/results/decode-profile.sqlite from benches/pxq4-v100/results/decode-profile.nsys-rep
Processing [benches/pxq4-v100/results/decode-profile.sqlite] with [/opt/nvidia/nsight-systems-cli/2025.1.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
18.7,219301471,20480,10708.1,12512.0,1984,20992,6570.2,"void mul_mat_vec_q<(ggml_type)39, (int)1, (bool)0, (bool)0, (bool)0, (bool)0, (int)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
9.5,111527762,2690,41460.1,5120.0,3936,760765,161644.2,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)0, (bool)0, (bool)0, (bool)0, (int)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
8.9,104609239,46490,2250.1,2208.0,1312,4352,309.0,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
7.9,92857345,5120,18136.2,18112.0,15680,20768,643.1,"void pxq4_mmvq_coalesced<(bool)1, (bool)1, (int)2, (int)4, (int)4>(pxq4_mmvq_args)"
5.3,62105832,5280,11762.5,11424.0,9920,30976,2031.4,"void pxq4_mmvq_coalesced<(bool)1, (bool)0, (int)4, (int)4, (int)4>(pxq4_mmvq_args)"
5.0,58878547,10240,5749.9,5200.0,2304,8448,1649.8,"void mul_mat_vec_f<float, float, (int)1, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
4.3,50680235,6400,7918.8,6816.0,4672,13824,2389.7,"void mul_mat_vec_q<(ggml_type)39, (int)1, (bool)1, (bool)0, (bool)0, (bool)0, (int)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
4.3,50062681,10692,4682.3,4736.0,3296,5696,352.0,"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
3.5,40549127,5280,7679.8,7776.0,4448,8928,611.5,"void topk_moe_cuda<(int)256, (bool)0>(const float *, float *, int *, float *, int, int, float, float, topk_moe_config)"
2.8,32916612,5120,6429.0,6464.0,3552,7392,510.8,"void mul_mat_vec_q<(ggml_type)39, (int)1, (bool)0, (bool)1, (bool)0, (bool)0, (int)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
2.6,30603567,1280,23909.0,24192.0,12672,24960,1679.8,"void flash_attn_tile<(int)256, (int)256, (int)1, (int)8, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
2.3,27575176,3960,6963.4,7040.0,3680,8160,624.1,"void k_get_rows_float_vec<float>(const T1 *, const int *, T1 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
2.3,26658188,5280,5048.9,5184.0,3072,5856,425.2,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
2.1,24150023,7960,3033.9,3008.0,1888,4576,294.5,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
1.9,22233391,3840,5789.9,5760.0,4544,6560,273.1,"void gated_delta_net_cuda<(int)128, (bool)0, (bool)0>(const float *, const float *, const float *, const float *, const float *, const float *, float *, float *, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, float, long, int)"
1.9,21739011,5280,4117.2,4128.0,2400,7456,341.6,"moe_weighted_reduction_f32(const float *, const float *, const float *, float *, long, int)"
1.8,21646436,6600,3279.8,3360.0,1984,4832,440.9,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
1.7,19735160,7920,2491.8,2400.0,1631,3648,428.5,"void rms_norm_scale_f32<(int)256>(const float *, float *, int, long, long, long, float, float, float)"
1.6,19286746,9240,2087.3,2112.0,1248,3104,239.0,"void unary_op_kernel<&op_sigmoid, float>(const T2 *, T2 *, int)"
1.4,15899529,5280,3011.3,2976.0,1984,3840,243.5,"void k_bin_bcast<&op_add, float, float, float, const float *, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
1.3,15218502,4090,3720.9,3744.0,2048,4608,320.3,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
1.3,15007655,3840,3908.2,3904.0,2464,5216,293.5,"void concat_cont<unsigned int, (int)0>(const T1 *, const T1 *, T1 *, long, long, long, long, long, long)"
1.2,14035822,5400,2599.2,2528.0,1600,4448,226.9,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
1.0,12232534,3960,3089.0,3072.0,1920,4000,250.5,"void ssm_conv_f32<(bool)1, (unsigned long)128, (unsigned long)4>(const float *, const float *, const float *, int, int, int, int, float *, int, int, int, long)"
0.8,9892798,4120,2401.2,2336.0,1472,3360,274.0,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.8,9774005,3840,2545.3,2528.0,1568,3616,221.5,"void unary_gated_op_kernel<&op_softplus, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
